id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
677695271581582498,Comfy 1 Bed 1 den Unit for Long Term  Stays,470795536,Cody,,Waterfront Communities-The Island,43.64114,-79.39523,Entire home/apt,135,28,6,2023-10-14,0.26,1,341,1,
677736564070888244,447.201.Master room,245417090,Kai,,Kensington-Chinatown,43.65540481859685,-79.40703056752682,Private room,,28,2,2024-04-15,0.09,37,2,1,
677742620899500679,447.202.master room in Bathurst/college,245417090,Kai,,Kensington-Chinatown,43.6552139,-79.4068988,Private room,75,28,3,2024-02-13,0.12,37,31,1,
677760020082839084,Beautiful 3 bedroom and 2 bathroom apartment,194673409,Moro,,O'Connor-Parkview,43.70020863185834,-79.30021540587543,Entire home/apt,149,7,21,2024-08-22,0.86,2,44,3,STR-2011-FYWKVD
678003172392101982,Luxury Condo with Stunning City Views!,465740029,Gordon,,Waterfront Communities-The Island,43.643848,-79.389366,Entire home/apt,314,1,47,2024-08-22,1.87,2,204,17,STR-2201-JCSDVM
678158138812769163,Sunnyside Private Room with Wifi,137587420,Jinna,,Hillcrest Village,43.812038371124636,-79.35681508473752,Private room,76,28,18,2023-10-06,0.97,3,70,2,STR-2207-FHTVHB
678269607388040262,Beach House on Beech Avenue,16169986,Christopher,,The Beaches,43.6738678216402,-79.2882752564964,Entire home/apt,,2,6,2023-09-03,0.44,1,0,0,STR-2306-FVQRVR
678278828600134135,1-bedroom condo with a stunning view,31787962,Kristina,,Mimico (includes Humber Bay Shores),43.6232,-79.48199,Entire home/apt,,28,1,2022-10-30,0.04,1,0,0,STR-2207-FRSPHC
678278919083911355,"2 Bedroom, bright and stylish basement apartment",404628426,Roanna,,Danforth East York,43.69306901640538,-79.32976569275485,Private room,250,2,8,2024-08-05,0.53,1,355,3,STR-2207-GCZVHF
678320712705177771,Urban 1BR Lower Suite in the Heart of the Junction,15106924,Sangeeta,,Junction Area,43.66345,-79.46718,Entire home/apt,90,28,29,2024-09-02,1.14,1,316,6,STR-2211-GQJHHT
678330448870761540,"Bright Suite conveniently located, affordable (#B)",46978448,Lev,,Willowdale West,43.76726,-79.42775,Private room,,60,11,2024-01-08,0.45,2,32,5,STR-2205-HMYHHK
